* description: Calculates the construction wood demand for a certain share of NEW urban settlers based on SSP urban population and Churkina et al 2020. Calculated based on current urban population and peak urban population.
* unit: mio tDM
"* origin: calcOutput(type = ""ConstructionWoodDemand"", aggregate = TRUE, file = ""f73_construction_wood_demand.cs3"", round = 2) (madrat 2.18.3 | mrcommons 1.12.2)"
* creation date: Mon Jul 18 16:33:40 2022
"dummy,dummy,dummy,BAU,10pc,50pc,90pc,current_trajectories,further_acceleration,acheived_commitments"
"y2040,ANZ,SSP2,0,0.24,1.21,2.17,0.24,0.24,0.24"
"y2060,ANZ,SSP3,0,0.29,1.44,2.59,0.29,0.29,0.29"
"y2065,ANZ,SSP3,0,0.29,1.44,2.59,0.29,0.29,0.29"
"y2045,ANZ,SSP2,0,0.3,1.51,2.72,0.3,0.3,0.3"
"y2030,ANZ,SSP2,0,0.12,0.6,1.09,0.12,0.12,0.12"
"y2085,ANZ,SSP4,0,0.66,3.32,5.98,0.66,0.66,0.66"
"y2085,ANZ,SSP1,0,0.95,4.76,8.57,0.95,0.95,0.95"
"y2095,ANZ,SSP5,0,1.6,7.98,14.36,1.6,1.6,1.6"
"y2045,ANZ,SSP4,0,0.28,1.41,2.54,0.28,0.28,0.28"
"y2025,ANZ,SSP2,0,0.06,0.3,0.54,0.06,0.06,0.06"
"y2035,ANZ,SSP2,0,0.18,0.91,1.63,0.18,0.18,0.18"
"y2100,ANZ,SSP5,0,1.7,8.51,15.32,1.7,1.7,1.7"
"y2075,ANZ,SSP5,0,1.17,5.85,10.53,1.17,1.17,1.17"
"y2055,ANZ,SSP3,0,0.26,1.28,2.3,0.26,0.26,0.26"
"y2100,ANZ,SSP3,0,0.29,1.44,2.59,0.29,0.29,0.29"
"y2090,ANZ,SSP5,0,1.49,7.45,13.4,1.49,1.49,1.49"
"y2045,ANZ,SSP3,0,0.19,0.93,1.68,0.19,0.19,0.19"
"y2090,ANZ,SSP3,0,0.29,1.44,2.59,0.29,0.29,0.29"
"y2040,ANZ,SSP4,0,0.23,1.13,2.03,0.23,0.23,0.23"
"y2030,ANZ,SSP3,0,0.07,0.37,0.67,0.07,0.07,0.07"
"y2070,ANZ,SSP5,0,1.06,5.32,9.57,1.06,1.06,1.06"
"y2050,ANZ,SSP3,0,0.22,1.12,2.01,0.22,0.22,0.22"
"y2095,ANZ,SSP3,0,0.29,1.44,2.59,0.29,0.29,0.29"
"y2090,ANZ,SSP1,0,0.96,4.79,8.62,0.96,0.96,0.96"
"y2060,ANZ,SSP5,0,0.85,4.26,7.66,0.85,0.85,0.85"
"y2080,ANZ,SSP4,0,0.66,3.32,5.98,0.66,0.66,0.66"
"y2035,ANZ,SSP4,0,0.17,0.85,1.52,0.17,0.17,0.17"
"y2025,ANZ,SSP3,0,0.04,0.19,0.34,0.04,0.04,0.04"
"y2065,ANZ,SSP5,0,0.96,4.79,8.62,0.96,0.96,0.96"
"y2080,ANZ,SSP5,0,1.28,6.38,11.49,1.28,1.28,1.28"
"y2070,ANZ,SSP4,0,0.56,2.82,5.07,0.56,0.56,0.56"
"y2070,ANZ,SSP1,0,0.79,3.94,7.09,0.79,0.79,0.79"
"y2025,ANZ,SSP4,0,0.06,0.28,0.51,0.06,0.06,0.06"
"y2055,ANZ,SSP5,0,0.74,3.72,6.7,0.74,0.74,0.74"
"y2085,ANZ,SSP5,0,1.38,6.91,12.45,1.38,1.38,1.38"
"y2075,ANZ,SSP4,0,0.61,3.07,5.53,0.61,0.61,0.61"
"y2075,ANZ,SSP1,0,0.87,4.34,7.8,0.87,0.87,0.87"
"y2030,ANZ,SSP4,0,0.11,0.56,1.01,0.11,0.11,0.11"
"y2050,ANZ,SSP4,0,0.34,1.69,3.04,0.34,0.34,0.34"
"y2040,ANZ,SSP3,0,0.15,0.75,1.34,0.15,0.15,0.15"
"y2085,ANZ,SSP3,0,0.29,1.44,2.59,0.29,0.29,0.29"
"y2080,ANZ,SSP1,0,0.95,4.73,8.51,0.95,0.95,0.95"
"y2025,ANZ,SSP1,0,0.08,0.39,0.71,0.08,0.08,0.08"
"y2050,ANZ,SSP5,0,0.64,3.19,5.74,0.64,0.64,0.64"
"y2035,ANZ,SSP5,0,0.32,1.6,2.87,0.32,0.32,0.32"
"y2065,ANZ,SSP2,0,0.54,2.72,4.89,0.54,0.54,0.54"
"y2100,ANZ,SSP1,0,0.96,4.79,8.62,0.96,0.96,0.96"
"y2035,ANZ,SSP3,0,0.11,0.56,1.01,0.11,0.11,0.11"
"y2080,ANZ,SSP3,0,0.29,1.44,2.59,0.29,0.29,0.29"
"y2040,ANZ,SSP5,0,0.43,2.13,3.83,0.43,0.43,0.43"
"y2060,ANZ,SSP1,0,0.63,3.15,5.68,0.63,0.63,0.63"
"y2045,ANZ,SSP5,0,0.53,2.66,4.79,0.53,0.53,0.53"
"y2070,ANZ,SSP3,0,0.29,1.44,2.59,0.29,0.29,0.29"
"y2065,ANZ,SSP4,0,0.51,2.54,4.56,0.51,0.51,0.51"
"y2095,ANZ,SSP1,0,0.96,4.79,8.62,0.96,0.96,0.96"
"y2065,ANZ,SSP1,0,0.71,3.55,6.38,0.71,0.71,0.71"
"y2055,ANZ,SSP4,0,0.39,1.97,3.55,0.39,0.39,0.39"
"y2075,ANZ,SSP3,0,0.29,1.44,2.59,0.29,0.29,0.29"
"y2080,ANZ,SSP2,0,0.72,3.62,6.52,0.72,0.72,0.72"
"y2095,ANZ,SSP2,0,0.85,4.23,7.61,0.85,0.85,0.85"
"y2030,ANZ,SSP1,0,0.16,0.79,1.42,0.16,0.16,0.16"
"y2060,ANZ,SSP4,0,0.45,2.25,4.06,0.45,0.45,0.45"
"y2070,ANZ,SSP2,0,0.6,3.02,5.44,0.6,0.6,0.6"
"y2085,ANZ,SSP2,0,0.79,3.93,7.07,0.79,0.79,0.79"
"y2100,ANZ,SSP2,0,0.85,4.23,7.61,0.85,0.85,0.85"
"y2035,ANZ,SSP1,0,0.24,1.18,2.13,0.24,0.24,0.24"
"y2060,ANZ,SSP2,0,0.48,2.42,4.35,0.48,0.48,0.48"
"y2075,ANZ,SSP2,0,0.66,3.32,5.98,0.66,0.66,0.66"
"y2090,ANZ,SSP2,0,0.85,4.23,7.61,0.85,0.85,0.85"
"y2050,ANZ,SSP2,0,0.36,1.81,3.26,0.36,0.36,0.36"
"y2100,ANZ,SSP4,0,0.66,3.32,5.98,0.66,0.66,0.66"
"y2025,ANZ,SSP5,0,0.11,0.53,0.96,0.11,0.11,0.11"
"y2055,ANZ,SSP1,0,0.55,2.76,4.97,0.55,0.55,0.55"
"y2050,ANZ,SSP1,0,0.47,2.36,4.26,0.47,0.47,0.47"
"y2055,ANZ,SSP2,0,0.42,2.11,3.81,0.42,0.42,0.42"
"y2095,ANZ,SSP4,0,0.66,3.32,5.98,0.66,0.66,0.66"
"y2030,ANZ,SSP5,0,0.21,1.06,1.91,0.21,0.21,0.21"
"y2040,ANZ,SSP1,0,0.32,1.58,2.84,0.32,0.32,0.32"
"y2045,ANZ,SSP1,0,0.39,1.97,3.55,0.39,0.39,0.39"
"y2090,ANZ,SSP4,0,0.66,3.32,5.98,0.66,0.66,0.66"
"y2085,BRA,SSP5,0,1.54,7.71,13.87,0,1.54,1.54"
"y2080,BRA,SSP5,0,1.54,7.71,13.87,0,1.54,1.54"
"y2080,BRA,SSP1,0,1.72,8.58,15.44,0,1.72,1.72"
"y2035,BRA,SSP2,0,1.28,6.42,11.55,0,1.28,1.28"
"y2100,BRA,SSP1,0,1.72,8.58,15.44,0,1.72,1.72"
"y2070,BRA,SSP5,0,1.54,7.71,13.87,0,1.54,1.54"
"y2040,BRA,SSP4,0,1.85,9.27,16.69,0,1.85,1.85"
"y2030,BRA,SSP2,0,0.86,4.28,7.7,0,0.86,0.86"
"y2045,BRA,SSP4,0,1.85,9.27,16.69,0,1.85,1.85"
"y2025,BRA,SSP2,0,0.43,2.14,3.85,0,0.43,0.43"
"y2090,BRA,SSP5,0,1.54,7.71,13.87,0,1.54,1.54"
"y2065,BRA,SSP5,0,1.54,7.71,13.87,0,1.54,1.54"
"y2055,BRA,SSP3,0,1.19,5.94,10.69,0,1.19,1.19"
"y2060,BRA,SSP2,0,2.57,12.83,23.1,0,2.57,2.57"
"y2070,BRA,SSP4,0,1.85,9.27,16.69,0,1.85,1.85"
"y2035,BRA,SSP4,0,1.39,6.96,12.52,0,1.39,1.39"
"y2095,BRA,SSP2,0,2.57,12.83,23.1,0,2.57,2.57"
"y2045,BRA,SSP3,0,0.85,4.24,7.64,0,0.85,0.85"
"y2065,BRA,SSP2,0,2.57,12.83,23.1,0,2.57,2.57"
"y2075,BRA,SSP4,0,1.85,9.27,16.69,0,1.85,1.85"
"y2100,BRA,SSP5,0,1.54,7.71,13.87,0,1.54,1.54"
"y2075,BRA,SSP1,0,1.72,8.58,15.44,0,1.72,1.72"
"y2090,BRA,SSP1,0,1.72,8.58,15.44,0,1.72,1.72"
"y2075,BRA,SSP5,0,1.54,7.71,13.87,0,1.54,1.54"
